"level","position","tech_stack","experience","gender","company","company_size","work_type","city","currency","salary_for_other_currency","salary_for_tl_currency"
"Middle","Full Stack Developer","Php, JavaScript | Html | Css","3 - 5 Yıl","Erkek","E-Ticaret","25 - 50 Kişi","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Senior","Back-end Developer","Java","10 - 14 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"19.000 TL - 19.999 TL"
"Senior","Software Development Manager","Java, .Net","10 - 14 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"22.000 TL - 22.999 TL"
"Senior","Data Analyst","Java","10 - 14 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Middle","QA / Test Automation Developer","Java","1 - 3 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","Bursa","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css","3 - 5 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Senior","Game Developer","Unity","3 - 5 Yıl","Erkek","Oyun","1 - 10 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Senior","Back-end Developer",".Net","7 - 10 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css","1 - 3 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Senior","Back-end Developer","Php, C / C++, JavaScript | Html | Css","15 Yıl ve üzeri","Erkek","Outsource","1 - 10 Kişi","Remote","Ankara","$ - Dolar","2.000 - 2.999",
"Middle","Full Stack Developer","Java, React","3 - 5 Yıl","Kadın","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Senior","Team / Tech Lead","Java, React","7 - 10 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"22.000 TL - 22.999 TL"
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css, Angular","3 - 5 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Ofis","İzmir","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Software Architect","Java, Python","10 - 14 Yıl","Erkek","Kurumsal","250+","Remote","Yurt Dışı","€ - Euro","4.000 - 4.999",
"Senior","Full Stack Developer","Java, .Net, Vue, Angular, Flutter","10 - 14 Yıl","Erkek","Kurumsal","10 - 25 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Junior","Front-end Developer","JavaScript | Html | Css, React","0 - 1 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Junior","Mobile Application Developer","Java, Kotlin","0 - 1 Yıl","Erkek","Kurumsal","10 - 25 Kişi","Remote","Bursa","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Middle","Back-end Developer","Go, JavaScript | Html | Css","3 - 5 Yıl","Erkek","Startup","25 - 50 Kişi","Remote","Los Angeles","$ - Dolar","10.000 ve üzeri",
"Senior","Software Architect","Java, Kotlin, Flutter","10 - 14 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Junior","Data Scientist","Python","1 - 3 Yıl","Erkek","Kurumsal","25 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Senior","Software Development Manager",".Net","10 - 14 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Middle","Full Stack Developer",".Net, Php, Python, JavaScript | Html | Css, React","5 - 7 Yıl","Erkek","Startup","1 - 10 Kişi","Remote","Şanlıurfa ","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Junior","Full Stack Developer",".Net, JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Startup","1 - 10 Kişi","Ofis","İzmir","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Middle","Front-end Developer","Angular","3 - 5 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Junior","Mobile Application Developer","Java, Kotlin","1 - 3 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Middle","Business Analyst","Java, .Net, JavaScript | Html | Css, React","3 - 5 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Middle","Back-end Developer","Python","3 - 5 Yıl","Erkek","Diğer","100 - 250 Kişi","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Junior","Mobile Application Developer","React Native","1 - 3 Yıl","Erkek","Startup","10 - 25 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Senior","Mobile Application Developer","Java, Kotlin","1 - 3 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"26.000 TL - 26.999 TL"
"Senior","Software Architect","Java","15 Yıl ve üzeri","Erkek","Outsource","250+","Remote","Yurt Dışı","€ - Euro","3.000 - 3.999",
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css","5 - 7 Yıl","Erkek","Startup","1 - 10 Kişi","Ofis","Ankara","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Junior","Back-end Developer","JavaScript | Html | Css, React","0 - 1 Yıl","Erkek","Startup","10 - 25 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Middle","Full Stack Developer",".Net, C / C++, JavaScript | Html | Css","3 - 5 Yıl","Erkek","Kurumsal","250+","Ofis","Gaziantep","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Middle","Back-end Developer",".Net","3 - 5 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css, React Native","10 - 14 Yıl","Erkek","Outsource","10 - 25 Kişi","Remote","İzmir","₺ - Türk Lirası",,"13.000 TL - 13.999 TL"
"Junior","QA / Test Automation Developer","Java, Python","1 - 3 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","Yurt Dışı","$ - Dolar","5.000 - 5.999",
"Senior","Software Development Manager","Java, Python","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"50.000 TL ve üzeri"
"Middle","Back-end Developer","Java, JavaScript | Html | Css","3 - 5 Yıl","Kadın","Fintech / Finans","25 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Team / Tech Lead","JavaScript | Html | Css, Vue","3 - 5 Yıl","Erkek","Startup","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"31.000 TL - 31.999 TL"
"Senior","Full Stack Developer","JavaScript | Html | Css, Vue, Node.js","5 - 7 Yıl","Erkek","Startup","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Senior","CTO",".Net, Python","15 Yıl ve üzeri","Erkek","Diğer","25 - 50 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"40.000 TL - 40.999 TL"
"Junior","Full Stack Developer",".Net, JavaScript | Html | Css","0 - 1 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css, React, R","1 - 3 Yıl","Kadın","Kurumsal","25 - 50 Kişi","Ofis","Kocaeli","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Junior","QA / Test Automation Developer","Java, .Net","0 - 1 Yıl","Kadın","Kurumsal","10 - 25 Kişi","Ofis","İzmir","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Junior","Front-end Developer","JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Senior","Back-end Developer","Java","7 - 10 Yıl","Erkek","Outsource","50 - 100 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Senior","Mobile Application Developer","Java, Kotlin","5 - 7 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"29.000 TL - 29.999 TL"
"Senior","Full Stack Developer",".Net, Go, JavaScript | Html | Css, React","5 - 7 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"24.000 TL - 24.999 TL"
"Junior","DevOps Engineer","Java, Python","1 - 3 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","Ankara","₺ - Türk Lirası",,"11.000 TL - 11.999 TL"
"Senior","Back-end Developer","Java, Python","5 - 7 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Junior","Mobile Application Developer","Kotlin","1 - 3 Yıl","Kadın","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Mobile Application Developer","Kotlin","10 - 14 Yıl","Kadın","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"29.000 TL - 29.999 TL"
"Middle","Data Scientist","Python","1 - 3 Yıl","Erkek","Startup","25 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Senior","Full Stack Developer",".Net, Php, React, Angular, React Native","10 - 14 Yıl","Erkek","E-Ticaret","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Junior","Back-end Developer",".Net, JavaScript | Html | Css, React","1 - 3 Yıl","Erkek","Kurumsal","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Middle","Data Scientist",".Net, pentaho, knime","10 - 14 Yıl","Erkek","Kurumsal","250+","Ofis","Ankara","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Middle","Back-end Developer","Java, .Net","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","€ - Euro","1000 - 1.999",
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css","3 - 5 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Junior","Full Stack Developer",".Net, JavaScript | Html | Css, Angular","0 - 1 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","Ankara","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Senior","Back-end Developer",".Net","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Senior","CTO",".Net, React, React Native","15 Yıl ve üzeri","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"50.000 TL ve üzeri"
"Senior","Back-end Developer","Go, Python","5 - 7 Yıl","Erkek","Startup","25 - 50 Kişi","Remote","Ankara","$ - Dolar","4.000 - 4.999",
"Senior","Full Stack Developer",".Net, Angular","15 Yıl ve üzeri","Erkek","Startup","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Senior","Full Stack Developer",".Net","10 - 14 Yıl","Erkek","Outsource","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"11.000 TL - 11.999 TL"
"Senior","Team / Tech Lead",".Net, JavaScript | Html | Css, React","10 - 14 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"31.000 TL - 31.999 TL"
"Senior","Team / Tech Lead","Java","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Senior","Full Stack Developer",".Net","10 - 14 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Middle","Software Development Manager","Php","7 - 10 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Middle","Back-end Developer",".Net, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Full Stack Developer",".Net","10 - 14 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Ofis","Ankara","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Senior","Mobile Application Developer","Java, Kotlin","1 - 3 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Senior","Full Stack Developer",".Net, React","5 - 7 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"19.000 TL - 19.999 TL"
"Senior","Embedded Software Developer","C / C++","5 - 7 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Senior","Full Stack Developer",".Net, Flutter","10 - 14 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Senior","Full Stack Developer",".Net, React","10 - 14 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"23.000 TL - 23.999 TL"
"Junior","Back-end Developer",".Net, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Outsource","25 - 50 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Senior","Full Stack Developer","Java, React","7 - 10 Yıl","Kadın","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Senior","Game Developer","Unity","5 - 7 Yıl","Erkek","Startup","10 - 25 Kişi","Remote","Berlin","€ - Euro","3.000 - 3.999",
"Senior","Team / Tech Lead","Go","7 - 10 Yıl","Erkek","Startup","25 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"37.000 TL - 37.999 TL"
"Middle","Back-end Developer",".Net, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Kurumsal","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"11.000 TL - 11.999 TL"
"Middle","Back-end Developer","Java","3 - 5 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Middle","Full Stack Developer",".Net","3 - 5 Yıl","Erkek","Kurumsal","250+","Remote","İzmir","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Senior","Full Stack Developer",".Net, Python, Vue, Angular","3 - 5 Yıl","Erkek","Startup","1 - 10 Kişi","Ofis","İstanbul","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Senior","Front-end Developer","React","10 - 14 Yıl","Erkek","Startup","25 - 50 Kişi","Remote","Berlin","€ - Euro","4.000 - 4.999",
"Senior","Full Stack Developer","Java, React","7 - 10 Yıl","Kadın","Banka","250+","Remote","İstanbul","₺ - Türk Lirası",,"29.000 TL - 29.999 TL"
"Senior","Full Stack Developer",".Net","10 - 14 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Ofis","İzmir","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Middle","Mobile Application Developer","Java, .Net, Kotlin, xamarin","3 - 5 Yıl","Erkek","Kurumsal","1 - 10 Kişi","Ofis","çorum","₺ - Türk Lirası",,"5.000 TL - 5.999 TL"
"Senior","Full Stack Developer","Java","5 - 7 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Middle","Embedded Software Developer","C / C++","5 - 7 Yıl","Erkek","Startup","25 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Team / Tech Lead",".Net, Angular","10 - 14 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"25.000 TL - 25.999 TL"
"Senior","Back-end Developer","Java, JavaScript | Html | Css","10 - 14 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası",,"24.000 TL - 24.999 TL"
"Senior","Back-end Developer","Java","7 - 10 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"28.000 TL - 28.999 TL"
"Senior","Full Stack Developer",".Net, Python, JavaScript | Html | Css, Vue","10 - 14 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","Ankara","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Junior","Full Stack Developer","Java, React","1 - 3 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","Ankara","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Middle","Back-end Developer",".Net","1 - 3 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Middle","Full Stack Developer",".Net","3 - 5 Yıl","Kadın","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css, Angular, Flutter","3 - 5 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Junior","Game Developer","Unity","0 - 1 Yıl","Erkek","Oyun","25 - 50 Kişi","Ofis","Adana","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Middle","Back-end Developer",".Net","3 - 5 Yıl","Erkek","E-Ticaret","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Senior","Team / Tech Lead",".Net, JavaScript | Html | Css","10 - 14 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"27.000 TL - 27.999 TL"
"Middle","Back-end Developer","Python","1 - 3 Yıl","Erkek","Startup","25 - 50 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Senior","Back-end Developer",".Net","5 - 7 Yıl","Erkek","E-Ticaret","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Senior","Software Architect",".Net, Go","7 - 10 Yıl","Erkek","Dijital / Reklam Ajansı","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Senior","Team / Tech Lead",".Net, JavaScript | Html | Css, Angular","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Remote","İzmir","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Junior","Software Architect","cobol , pli, CA Gen","0 - 1 Yıl","Erkek","Outsource","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Senior","Full Stack Developer",".Net, Angular","7 - 10 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Senior","Back-end Developer",".Net, Go","5 - 7 Yıl","Erkek","E-Ticaret","250+","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Senior","Back-end Developer",".Net, JavaScript | Html | Css","10 - 14 Yıl","Erkek","Startup","50 - 100 Kişi","Remote","İstanbul","$ - Dolar","1000 - 1.999",
"Middle","Back-end Developer",".Net","1 - 3 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Junior","QA / Test Automation Developer","Python, Vue","3 - 5 Yıl","Erkek","Startup","25 - 50 Kişi","Ofis","Ankara","₺ - Türk Lirası",,"7.000 TL - 7.999 TL"
"Senior","Team / Tech Lead",".Net, Php, Python, C / C++, Angular","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Yurt Dışı","€ - Euro","3.000 - 3.999",
"Middle","Full Stack Developer","Php, Go, JavaScript | Html | Css, Vue","1 - 3 Yıl","Kadın","Startup","250+","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"23.000 TL - 23.999 TL"
"Junior","Front-end Developer","JavaScript | Html | Css, React, Angular, SharePoint","1 - 3 Yıl","Erkek","Dijital / Reklam Ajansı","25 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Middle","Back-end Developer","Node.js","1 - 3 Yıl","Erkek","E-Ticaret","1 - 10 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"10.000 TL - 10.999 TL"
"Senior","Front-end Developer","JavaScript | Html | Css, React","5 - 7 Yıl","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","Kocaeli","₺ - Türk Lirası",,"15.000 TL - 15.999 TL"
"Senior","Software Development Manager",".Net","10 - 14 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"45.000 TL - 45.999 TL"
"Senior","Back-end Developer",".Net","7 - 10 Yıl","Erkek","Startup","1 - 10 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"6.000 TL - 6.999 TL"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css","10 - 14 Yıl","Erkek","Kurumsal","250+","Remote","Hatay","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Senior","Back-end Developer",".Net, Vue, Angular","15 Yıl ve üzeri","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"35.000 TL - 35.999 TL"
"Senior","Full Stack Developer",".Net, JavaScript | Html | Css","5 - 7 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"18.000 TL - 18.999 TL"
"Middle","Mobile Application Developer","Swift / Objective C","3 - 5 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İzmir","$ - Dolar","10.000 ve üzeri",
"Middle","Front-end Developer","JavaScript | Html | Css","3 - 5 Yıl","Erkek","Kurumsal","25 - 50 Kişi","Pandemi Nedeniyle; Geçici Olarak Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası",,"16.000 TL - 16.999 TL"
"Middle","Back-end Developer",".Net","1 - 3 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Pandemi Nedeniyle; Geçici Olarak Remote","İstanbul","₺ - Türk Lirası",,"12.000 TL - 12.999 TL"
"Senior","Back-end Developer","Java","5 - 7 Yıl","Erkek","Kurumsal","250+","Remote","Ankara","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Senior","Back-end Developer",".Net","10 - 14 Yıl","Erkek","Kurumsal","50 - 100 Kişi","Remote","Yurt Dışı","£ - Sterlin","2.000 - 2.999",
"Senior","Back-end Developer","Python","10 - 14 Yıl","Erkek","Kurumsal","250+","Ofis","İstanbul","₺ - Türk Lirası",,"21.000 TL - 21.999 TL"
"Middle","Back-end Developer",".Net","3 - 5 Yıl","Kadın","Kurumsal","50 - 100 Kişi","Remote","Ankara","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Senior","Team / Tech Lead","Java, Kotlin, Swift / Objective C","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Pandemi Nedeniyle; Geçici Olarak Remote","Yurt Dışı","€ - Euro","5.000 - 5.999",
"Senior","Back-end Developer",".Net, React","7 - 10 Yıl","Erkek","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Middle","Front-end Developer","JavaScript | Html | Css, React, Vue, React Native","3 - 5 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası",,"29.000 TL - 29.999 TL"
"Senior","Back-end Developer",".Net","7 - 10 Yıl","Erkek","Diğer","50 - 100 Kişi","Hibrit (Ofis + Remote)","Kocaeli","₺ - Türk Lirası",,"20.000 TL - 20.999 TL"
"Middle","Back-end Developer","Php","5 - 7 Yıl","Erkek","Fintech / Finans","50 - 100 Kişi","Remote","İzmir","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Senior","Back-end Developer",".Net","5 - 7 Yıl","Erkek","Startup","10 - 25 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Junior","Back-end Developer",".Net","1 - 3 Yıl","Erkek","Startup","25 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"9.000 TL - 9.999 TL"
"Senior","Full Stack Developer","Java, Php, React, Angular, React Native","15 Yıl ve üzeri","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Kocaeli","₺ - Türk Lirası",,"14.000 TL - 14.999 TL"
"Senior","Full Stack Developer","Java, JavaScript | Html | Css, litElement","3 - 5 Yıl","Erkek","Outsource","10 - 25 Kişi","Remote","Trabzon","₺ - Türk Lirası",,"17.000 TL - 17.999 TL"
"Middle","Full Stack Developer",".Net, JavaScript | Html | Css","3 - 5 Yıl","Erkek","Kurumsal","25 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası",,"8.000 TL - 8.999 TL"
"Senior","Software Architect","Java","7 - 10 Yıl","Kadın","Kurumsal","250+","Remote","İstanbul","₺ - Türk Lirası",,"30.000 TL - 30.999 TL"
